Project,Client,Description,Duration
SOS2122-24,,#1 Primera issue,00:00:36
SOS2122-24,,#10 teras f04,03:02:00
SOS2122-24,,#3 Debatiendo el trabajo para el F02,00:18:00
SOS2122-24,,#6 F03-Debatiendo,03:05:00
SOS2122-24,,#9 Issue F04,03:31:07
SOS2122-24,,F05,06:00:00
SOS2122-24,,F06,05:45:00
SOS2122-24,,F07,09:55:00
SOS2122-24,,F08 - D02,10:05:00
SOS2122-24,,F09,10:57:00
SOS2122-24,,Integraciones graficas,08:40:00
SOS2122-24,,Integraciones Gráficas,10:31:00
SOS2122-24,,tarea F03,03:07:00
SOS2122-24,,Tareas,37:20:00
SOS2122-24,,tareas,29:03:00
SOS2122-24,,tareas  F02,01:35:45
SOS2122-24,,tareas f06,06:00:00
SOS2122-24,,tareas f07,10:00:00
SOS2122-24,,tareas f08 entregable D02,09:02:00
SOS2122-24,,tareas f09,11:00:00
SOS2122-24,,tareas lunes 14,03:50:40
SOS2122-24,,tareas lunes 21,03:39:00
SOS2122-24,,tareas lunes 7,00:48:49
SOS2122-24,,tereas f05,06:05:00
SOS2122-24,,,41:15:00
